hostname_length,path_length,double_slash_in_path,is_https,has_ip,subdomain_cnt,suspicious_tokens,has_at,hyphen_count,digit_count,entropy,domain_age_days,ssl_days_left,has_login_form,num_inputs,num_iframes,num_scripts,meta_refresh,suspicious_js,ext_favicon,label,url_source
17,64,0,1,0,0,0,0,0,8,4.652904067935662,8010,52,0,1,0,71,0,1,0,0,https://stackoverflow.com/questions/12345678/how-to-fix-xgboost-installation-error-python
20,57,0,1,0,1,0,0,0,0,4.271287561503643,-1,40,0,0,0,1,1,0,0,0,https://www.starbucks.com.my/menu/beverages/espresso-beverages/caramel-macchiato.html
20,39,0,1,0,1,1,0,0,3,4.385895239739832,-1,89,0,0,0,0,0,0,0,0,https://www.maybank2u.com.my/mbb/m2u/common/M2ULogin.do?action=Login
15,84,0,1,0,1,2,0,0,0,4.357591636336052,-1,372,0,0,0,14,0,0,0,0,https://www.cimb.com.my/en/personal/day-to-day-banking/accounts/savings-account/airasia-savers-account.html
17,31,0,1,0,1,0,0,0,0,4.287826637596876,9088,37,0,4,0,5,0,0,0,0,https://www.wikipedia.org/wiki/List_of_HTTP_status_codes
15,25,0,1,0,1,0,0,0,4,4.5406447322154,7594,48,0,0,1,50,0,0,0,0,https://www.youtube.com/watch?v=dQw4w9WgXcQ&t=42s
17,50,0,1,0,1,0,0,0,3,4.383781404563282,12632,227,0,1,0,6,0,0,0,0,https://www.microsoft.com/en-us/microsoft-365/onedrive/online-cloud-storage
20,66,0,1,0,1,0,0,0,7,4.619585496231565,6505,52,0,0,0,2,0,0,0,0,https://www.researchgate.net/publication/3289567_Phishing_URL_Detection_Using_Machine_Learning
10,42,0,1,0,0,0,0,0,0,4.156728414096944,5939,79,0,0,0,19,0,0,0,0,https://kaggle.com/datasets/taruntiwarihp/phishing-site-urls
16,1,0,1,0,1,1,0,0,0,4.467536695391205,11360,169,0,0,0,1,0,0,0,0,https://portal.azure.com/#create/Microsoft.CognitiveServicesAllInOne
15,28,0,1,0,1,0,0,0,1,4.332119304424952,11207,133,0,6,0,11,0,0,0,0,https://docs.python.org/3/library/urllib.parse.html#module-urllib.parse
14,64,0,1,0,1,0,0,0,25,4.90979317417914,6327,86,0,0,0,54,0,0,1,0,https://www.airbnb.com/rooms/12345678?adults=2&check_in=2023-12-01&check_out=2023-12-08
15,39,0,1,0,1,0,0,0,0,4.371309770267237,10090,47,0,0,0,5,0,0,0,0,https://www.booking.com/hotel/my/grand-hyatt-kuala-lumpur.html
13,41,0,1,0,0,0,0,0,1,4.326275662097617,-1,137,0,0,1,17,0,0,0,0,https://shopee.com.my/search?keyword=laptop&page=0&sortBy=sales
17,73,0,1,0,1,0,0,0,7,4.535150575400531,-1,57,0,4,0,49,0,0,0,0,https://www.lazada.com.my/products/logitech-g-pro-x-superlight-wireless-gaming-mouse-i2000001.html
13,33,0,1,0,1,0,0,0,2,4.217191901429073,14165,107,0,5,0,12,0,0,0,0,https://www.apple.com/my/shop/buy-iphone/iphone-15-pro
43,0,0,0,0,0,5,0,5,0,4.206370130156181,-1,-999,0,0,0,0,0,0,0,1,http://paypal-secure-login-update-account-info.com
40,0,0,0,0,0,1,0,4,0,4.094393309484218,-1,-999,0,0,0,0,0,0,0,1,http://apple-id-verification-locked-service.net
39,0,0,0,0,0,0,0,5,0,4.273911011375186,-1,-999,0,0,0,0,0,0,0,1,http://amazon-prime-gift-card-reward-claim.xyz
42,0,0,0,0,0,2,0,4,0,4.115037528699616,-1,-999,0,0,0,0,0,0,0,1,http://netflix-payment-failed-update-billing.info
42,0,0,0,0,0,1,0,3,1,4.311152640422817,-1,-999,0,0,0,0,0,0,0,1,http://maybank2u-secure-authorization-request.com
37,0,0,0,0,0,1,0,4,0,4.31705292530797,-1,-999,0,0,0,0,0,0,0,1,http://cimb-clicks-reset-password-verify.net
42,0,0,0,0,0,1,0,4,0,4.359935487883289,-1,-999,0,0,0,0,0,0,0,1,http://facebook-security-check-login-required.com
40,0,0,0,0,0,0,0,3,0,4.185680417047055,-1,-999,0,0,0,0,0,0,0,1,http://instagram-verified-badge-application.top
34,0,0,0,0,0,1,0,4,0,4.131584626411001,-1,-999,0,0,0,0,0,0,0,1,http://pubg-mobile-free-uc-generator.site
43,0,0,0,0,0,0,0,4,0,4.39127238011291,-1,-999,0,0,0,0,0,0,0,1,http://steam-community-giveaway-discord-nitro.club
42,0,0,0,0,0,1,0,4,0,4.172443834665064,-1,-999,0,0,0,0,0,0,0,1,http://microsoft-support-alert-virus-detected.biz
10,0,0,0,0,0,0,0,0,2,3.616874605956223,8948,-999,0,0,0,0,0,0,0,1,http://g00gle.com
12,0,0,0,0,0,0,0,0,2,3.826874881864639,7384,43,0,0,0,0,0,0,0,1,http://faceb00k.com
10,6,0,0,0,0,2,0,1,0,3.849223912390625,4819,-999,0,0,0,0,0,0,0,1,http://pay-pal.me/login
14,0,0,0,0,0,0,0,0,0,3.4992275417233576,-1,-999,0,0,0,0,0,0,0,1,http://shopeee.com.my
18,0,0,0,0,0,0,0,2,0,4.083856189774725,-1,-999,0,0,0,0,0,0,0,1,http://my-public-bank.com
27,0,0,0,0,0,0,0,3,3,4.13850217929474,-1,-999,0,0,0,0,0,0,0,1,http://tng-ewallet-claim-rm100.com
27,0,0,0,0,0,1,0,3,0,3.998652546878167,-1,-999,0,0,0,0,0,0,0,1,http://whatsapp-web-login-scan.net
27,0,0,0,0,0,1,0,2,0,3.959094371350332,-1,-999,0,0,0,0,0,0,0,1,http://telegram-desktop-update.org
30,0,0,0,0,0,1,0,3,0,4.003259028248121,-1,-999,0,0,0,0,0,0,0,1,http://zoom-meeting-invite-secure.com
25,0,0,0,0,0,1,0,3,0,3.926108500731241,-1,-999,0,0,0,0,0,0,0,1,http://rhb-group-login-error.com
35,0,0,0,0,0,1,0,3,0,4.032331339951051,-1,-999,0,0,0,0,0,0,0,1,http://hongleong-connect-mobile-update.com
30,0,0,0,0,0,0,0,2,0,4.121219243831913,-1,-999,0,0,0,0,0,0,0,1,http://ambank-online-verification.com
32,0,0,0,0,0,1,0,3,0,4.182336834024969,-1,-999,0,0,0,0,0,0,0,1,http://alliance-bank-security-alert.com
21,0,0,0,0,0,0,0,3,0,3.9677201004745,-1,-999,0,0,0,0,0,0,0,1,http://uob-group-sign-in.com
31,0,0,0,0,0,1,0,3,0,4.093340592892869,-1,-999,0,0,0,0,0,0,0,1,http://bank-islam-internet-banking.com
19,0,0,0,0,0,1,0,2,0,3.979097891134805,-1,-999,0,0,0,0,0,0,0,1,http://bsn-mybsn-login.com
23,0,0,0,0,0,1,0,2,0,4.2817276788697365,-1,-999,0,0,0,0,0,0,0,1,http://affin-always-secure.com
30,0,0,0,0,0,1,0,2,0,4.175273297885966,-1,-999,0,0,0,0,0,0,0,1,http://standardchartered-my-login.com
32,0,0,0,0,0,1,0,3,0,4.169766962341045,-1,-999,0,0,0,0,0,0,0,1,http://hsbc-malaysia-online-banking.com
9,215,0,0,0,0,1,0,0,58,5.046608107554677,-1,-999,0,0,0,0,0,0,0,1,nobell.it/70ffb52d079109dca5664cce6f317373782/login.SkyPe.com/en/cgi-bin/verification/login/70ffb52d079109dca5664cce6f317373/index.php?cmd=_profile-ach&outdated_page_tmpl=p/gen/failed-to-load&nav=0.5.1&login_access=1322408526
15,66,0,0,0,1,1,0,0,1,4.720684676697588,-1,-999,0,0,0,0,0,0,0,1,www.dghjdgf.com/paypal.co.uk/cycgi-bin/webscrcmd=_home-customer&nav=1/loading.php
16,161,0,0,0,0,3,0,0,47,4.739902126541999,107,29,0,0,0,0,0,0,0,1,serviciosbys.com/paypal.cgi.bin.get-into.herf.secure.dispatch35463256rzr321654641dsf654321874/href/href/href/secure/center/update/limit/seccure/4d7a1ff5c55825a2e632a679c2fd5353/
18,42,0,0,0,1,0,0,0,0,4.17985342262277,8013,-999,0,0,0,0,0,0,0,1,mail.printakid.com/www.online.americanexpress.com/index.html
19,96,0,0,0,0,0,0,0,21,4.6233729385591875,-1,-999,0,0,0,0,0,0,0,1,thewhiskeydregs.com/wp-content/themes/widescreen/includes/temp/promocoessmiles/?84784787824HDJNDJDSJSHD//2724782784/
25,11,0,0,0,1,0,0,0,0,3.850715778845018,7608,-999,0,0,0,0,0,0,0,1,smilesvoegol.servebbs.org/voegol.php
28,33,0,0,0,0,1,0,0,7,4.524172215900366,-1,-999,0,0,0,0,0,0,0,1,premierpaymentprocessing.com/includes/boleto-2via-07-2012.php
19,41,0,0,0,0,0,0,0,4,4.326606542040095,-1,-999,0,0,0,0,0,0,0,1,myxxxcollection.com/v1/js/jih321/bpd.com.do/do/l.popular.php
14,5,0,0,0,0,0,0,0,4,4.026986833359286,-1,-999,0,0,0,0,0,0,0,1,super1000.info/docs
